scholar_id,name_en,name_ja,search_url,status
カール・ピアソン2025,Karl Pearson,カール・ピアソン,https://ja.wikipedia.org/wiki/%E3%82%AB%E3%83%BC%E3%83%AB%E3%83%BB%E3%83%94%E3%82%A2%E3%82%BD%E3%83%B3,generated
ダグラス・アルトマン2025,Doug Altman,ダグラス・アルトマン,https://en.wikipedia.org/wiki/Doug_Altman,generated
ピーター・アーミテージ2025,Peter Armitage,ピーター・アーミテージ,,generated
アドルフ・ケトレー2025,Adolphe Quételet,アドルフ・ケトレー,,generated
アブー・ユースフ・ヤアクーブ・イブン・イスハーク・アル＝キンディー2025,,アブー・ユースフ・ヤアクーブ・イブン・イスハーク・アル＝キンディー,,generated
アーチボルド・コクラン2025,Archibald Leman Cochrane,アーチボルド・コクラン,,generated
イェレミア・ストラマー2025,Jeremiah Stamler,イェレミア・ストラマー,,generated
ウィリアム・ペティ2025,Sir William Petty,ウィリアム・ペティ,,generated
エゴン・ピアソン2025,Egon Sharpe Pearson,エゴン・シャープ・ピアソン,,generated
ケネス・ロスマン2025,Kenneth J. Rothman,ケネス・ロスマン,,generated
サンダー・グリーンランド2025,Sander Greenland,サンダー・グリーンランド,,generated
ジェロラモ・カルダノ2025,Gerolamo Cardano,ジェロラモ・カルダーノ,,generated
ジェームス・ロビンス2025,James M. Robins,ジェームス・ロビンス,,generated
ジョン・グラント2025,John Graunt,ジョン・グラント,,generated
ジョン・テューキー2025,John Wilder Tukey,ジョン・ワイルダー・テューキー,,generated
ジョン・ハンター2025,John Hunter,ジョン・ハンター,,generated
ジョン・ポール2025,John R. Paul,ジョン・R・ポール,,generated
ディビッド・サケット2025,David Lawrence Sackett,デイヴィッド・サケット,,generated
ドナルド・ベルウィック2025,Donald M. Berwick,ドナルド・ベルウィック,,generated
ドナルド・ルビン2025,Donald Bruce Rubin,ドナルド・ブルース・ルービン,,generated
フアン・カラムエル・イ・ロブコヴィッツ2025,Juan Caramuel y Lobkowitz,フアン・カラムエル・イ・ロブコヴィッツ,,generated
マチアス・エッガー2025,Matthias Egger,マチアス・エッガー,,generated
ユリアン・ヒギンズ2025,,ユリアン・ヒギンズ,,generated
原敬2025,,原敬,,generated
大隈重信2025,,大隈重信,,generated
杉亨二2025,,杉亨二,,generated
森鴎外2025,,森鴎外,,generated
田口玄一2025,Genichi Taguchi,田口玄一,,generated
福沢諭吉2025,,福沢諭吉,,generated
エドモンド・ハレー2025,Edmond Halley,エドモンド・ハレー,,generated
トーマス・ベイズ2025,Thomas Bayes,トーマス・ベイズ,,generated
ロナルド・フィッシャー2025,Sir Ronald Aylmer Fisher,ロナルド・エイルマー・フィッシャー,,generated
