レア度,人名,説明文,写真へのリンク
1,カール・ピアソン,https://ja.wikipedia.org/wiki/%E3%82%AB%E3%83%BC%E3%83%AB%E3%83%BB%E3%83%94%E3%82%A2%E3%82%BD%E3%83%B3,https://ja.wikipedia.org/wiki/%E3%83%95%E3%82%A1%E3%82%A4%E3%83%AB:Karl_Pearson.jpg
1,アラン・チューリング,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%A9%E3%83%B3%E3%83%BB%E3%83%81%E3%83%A5%E3%83%BC%E3%83%AA%E3%83%B3%E3%82%B0,
1,デビッド・コックス,https://en.wikipedia.org/wiki/David_Cox_(statistician),
1,ピエール＝シモン・ラプラス,https://ja.wikipedia.org/wiki/%E3%83%94%E3%82%A8%E3%83%BC%E3%83%AB%EF%BC%9D%E3%82%B7%E3%83%A2%E3%83%B3%E3%83%BB%E3%83%A9%E3%83%97%E3%83%A9%E3%82%B9,https://ja.wikipedia.org/wiki/%E3%83%95%E3%82%A1%E3%82%A4%E3%83%AB:Pierre-Simon_Laplace.jpg
1,カール・フリードリヒ・ガウス,https://ja.wikipedia.org/wiki/%E3%82%AB%E3%83%BC%E3%83%AB%E3%83%BB%E3%83%95%E3%83%AA%E3%83%BC%E3%83%89%E3%83%AA%E3%83%92%E3%83%BB%E3%82%AC%E3%82%A6%E3%82%B9,https://ja.wikipedia.org/wiki/%E3%83%95%E3%82%A1%E3%82%A4%E3%83%AB:Carl_Friedrich_Gauss.jpg
1,エミール・デュルケーム,https://ja.wikipedia.org/wiki/%E3%82%A8%E3%83%9F%E3%83%BC%E3%83%AB%E3%83%BB%E3%83%87%E3%83%A5%E3%83%AB%E3%82%B1%E3%83%BC%E3%83%A0,https://ja.wikipedia.org/wiki/%E3%83%95%E3%82%A1%E3%82%A4%E3%83%AB:Emile_Durkheim.jpg
1,ダグラス・アルトマン,https://en.wikipedia.org/wiki/Doug_Altman,
1,ピーター・アーミテージ,https://en.wikipedia.org/wiki/Peter_Armitage,
1,サンダー・グリーンランド,https://en.wikipedia.org/wiki/Sander_Greenland,
1,ジョン・ハンター,https://ja.wikipedia.org/wiki/%E3%82%B8%E3%83%A7%E3%83%B3%E3%83%BB%E3%83%8F%E3%83%B3%E3%82%BF%E3%83%BC_(%E5%A4%96%E7%A7%91%E5%8C%BB),
1,ディビッド・サケット,https://en.wikipedia.org/wiki/David_Sackett,
1,ドナルド・ベルウィック,https://en.wikipedia.org/wiki/Donald_Berwick,
1,田口玄一,https://ja.wikipedia.org/wiki/%E7%94%B0%E5%8F%A3%E7%8E%84%E4%B8%80,
1,ドナルド・ルビン,https://en.wikipedia.org/wiki/Donald_Rubin,
1,ジョン・ポール,https://en.wikipedia.org/wiki/John_R._Paul,
1,イェレミア・ストラマー,https://en.wikipedia.org/wiki/Jeremiah_Stamler,
2,イェジ・ネイマン,https://ja.wikipedia.org/wiki/%E3%82%A4%E3%82%A7%E3%82%B8%E3%83%BB%E3%83%8D%E3%82%A4%E3%83%9E%E3%83%B3,
2,トーマス・ベイズ,https://ja.wikipedia.org/wiki/%E3%83%88%E3%83%BC%E3%83%9E%E3%82%B9%E3%83%BB%E3%83%99%E3%82%A4%E3%82%BA,https://upload.wikimedia.org/wikipedia/commons/d/d4/Thomas_Bayes.gif
2,ジョン・スノー,https://en.wikipedia.org/wiki/John_Snow,https://en.wikipedia.org/wiki/John_Snow#/media/File:John_Snow.jpg
2,エゴン・ピアソン,https://ja.wikipedia.org/wiki/%E3%82%A8%E3%82%B4%E3%83%B3%E3%83%BB%E3%83%94%E3%82%A2%E3%82%BD%E3%83%B3,
2,フローレンス・ナイチンゲール,https://ja.wikipedia.org/wiki/%E3%83%95%E3%83%AD%E3%83%BC%E3%83%AC%E3%83%B3%E3%82%B9%E3%83%BB%E3%83%8A%E3%82%A4%E3%83%81%E3%83%B3%E3%82%B2%E3%83%BC%E3%83%AB,https://ja.wikipedia.org/wiki/%E3%83%95%E3%82%A1%E3%82%A4%E3%83%AB:Florence_Nightingale_CDV_by_H_Lenthall.jpg
2,アイザック・ニュートン,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%82%A4%E3%82%B6%E3%83%83%E3%82%AF%E3%83%BB%E3%83%8B%E3%83%A5%E3%83%BC%E3%83%88%E3%83%B3,
2,アーチボルド・コクラン,https://en.wikipedia.org/wiki/Archie_Cochrane,
3,ゴードン・ガイアット,https://en.wikipedia.org/wiki/Gordon_Guyatt,
3,高木兼寛,https://ja.wikipedia.org/wiki/%E9%AB%98%E6%9C%A8%E5%85%BC%E5%AF%9B,
3,ケネス・ロスマン,https://en.wikipedia.org/wiki/Kenneth_Rothman_(epidemiologist),
3,ジェームス・リンド,https://en.wikipedia.org/wiki/James_Lind,
4,ジョン・テューキー,https://ja.wikipedia.org/wiki/%E3%82%B8%E3%83%A7%E3%83%B3%E3%83%BB%E3%83%86%E3%83%A5%E3%83%BC%E3%82%AD%E3%83%BC,
4,赤池 弘次,https://ja.wikipedia.org/wiki/%E8%B5%A4%E6%B1%A0%E5%BC%98%E6%AC%A1,
5,ロナルド・フィッシャー,https://ja.wikipedia.org/wiki/%E3%83%AD%E3%83%8A%E3%83%AB%E3%83%89%E3%83%BB%E3%83%95%E3%82%A3%E3%83%83%E3%82%B7%E3%83%A3%E3%83%BC,https://sa.wikipedia.org/wiki/%E0%A4%B8%E0%A4%9E%E0%A5%8D%E0%A4%9A%E0%A4%BF%E0%A4%95%E0%A4%BE:%E0%A4%B0%E0%A5%8B%E0%A4%A8%E0%A4%BE%E0%A4%A1%E0%A5%8D.jpg
